"brand","Series","Series-2","PartNo","DetailLink","Document","Description","Suggested Drivers","频率 (Min) (MHz) ","频率 (Max) (MHz) ","供电电压 (Typ) (V) ","P1dB (Typ) (dBm) ","P1dB (Typ) (W) ","输出功率 (Typ) (W)  @ Intermodulation Level at Test Signal","测试信号","功率增益 (Typ) (dB)  @ f (MHz)","效率 (Typ) (%) ","热阻 (Spec)(&#176;C/W)","匹配","类型","模具技术","PLC代码","预算报价（不含税）(CNY)","封装类型和焊端数","Pin count","PLC描述","P3dB (Typ) (W) ","频率 (Min-Max) (MHz) ","无铅","认证级别","RoHS","应用","输出功率 (Typ) (W) (P1dB)","增益 (Typ) (dB) ","互调失真 - IMD (Typ) (dBc) ","互调失真 - IM3 (Typ) (dBc) ","宽带效率 (Typ) (%) ","宽带频率 (Min-Max) (MHz) (f)","替代部件"
"FSL","射频---射频移动通信基础架构","AFT18H356-24S","AFT18H356-24SR6","http://www.freescale.com/webapp/search.partparamdetail.framework?PART_NUMBER=AFT18H356-24S&buyNow=true&fromSearch=true","http://www.freescale.com/zh-Hans/products/rf/rf-cellular-infrastructure/1450-2200-mhz/1805-1995-mhz-63-w-avg.-28-v-airfast-rf-power-ldmos-transistor:AFT18H356-24S?&fpsp=1&tab=Documentation_Tab#AFT18H356-24SR6","Airfast RF Power LDMOS Transistor, 1805-1880 MHz, 63 W Avg., 28 V","<a target="_blank" id="OPNsuggestedDriver" style="cursor:pointer"  onclick="showpopup('AFT18H356-24SR6');trackRFAnalytics('AFT18H356-24SR6','opn');"><center><br><img class="img-sugg-driver" src="/shared/images/suggestedDriver.png"></img></br></center></a>","1805","1995","28","56","400","63 @ AVG","W-CDMA","15 @ 1880","46.7","0.47","I/O","AB, C","LDMOS","2","-","Air Cavity 7","7","PRODUCT RAPID GROWTH(2)","480","1805 to 1995","-","10-YEARS APPLICATION LIFE","-","-","-","-","-","-","-","-","-"
"FSL","射频---射频移动通信基础架构","AFT09S220-02N","AFT09S220-02NR3","http://www.freescale.com/webapp/search.partparamdetail.framework?PART_NUMBER=AFT09S220-02N&buyNow=true&fromSearch=true","http://www.freescale.com/zh-Hans/products/rf/rf-cellular-infrastructure/450-1000-mhz/850-960-mhz-54-w-avg-28-v-airfast-rf-power-ldmos-transistor:AFT09S220-02N?&fpsp=1&tab=Documentation_Tab#AFT09S220-02NR3","HV9 900MHz 30W OM780-2L","<a target="_blank" id="OPNsuggestedDriver" style="cursor:pointer"  onclick="showpopup('AFT09S220-02NR3');trackRFAnalytics('AFT09S220-02NR3','opn');"><center><br><img class="img-sugg-driver" src="/shared/images/suggestedDriver.png"></img></br></center></a>","850","960","28","53.4","220","54 @ AVG","W-CDMA","19.5 @ 920","35.8","0.3","I/O","AB","LDMOS","2","-","High Pwr RF SMT 3","3","PRODUCT RAPID GROWTH(2)","-","850 to 960","-","10-YEARS APPLICATION LIFE","-","-","-","-","-","-","-","-","-"
"FSL","射频---射频移动通信基础架构","A2T26H300-24S","A2T26H300-24SR6","http://www.freescale.com/webapp/search.partparamdetail.framework?PART_NUMBER=A2T26H300-24S&buyNow=true&fromSearch=true","http://www.freescale.com/zh-Hans/products/rf/rf-cellular-infrastructure/2300-2690-mhz/2496-2690-mhz-60-w-avg.-28-v-airfast-rf-power-ldmos-transistor:A2T26H300-24S?&fpsp=1&tab=Documentation_Tab#A2T26H300-24SR6","AIRFAST RF POWER LDMOS TRANSISTOR 2496-2690 MHz, 60 W AVG., 28 V","<a target="_blank" id="OPNsuggestedDriver" style="cursor:pointer"  onclick="showpopup('A2T26H300-24SR6');trackRFAnalytics('A2T26H300-24SR6','opn');"><center><br><img class="img-sugg-driver" src="/shared/images/suggestedDriver.png"></img></br></center></a>","2496","2690","28","53.2","209","60 @ AVG","W-CDMA","14.5 @ 2496","42.5","0.29","I/O","AB, C","LDMOS","2","-","Air Cavity 7","7","PRODUCT RAPID GROWTH(2)","363","2496 to 2690","-","10-YEARS APPLICATION LIFE","-","-","-","-","-","-","-","-","-"
"FSL","射频---射频移动通信基础架构","A2T23H300-24S","A2T23H300-24SR6","http://www.freescale.com/webapp/search.partparamdetail.framework?PART_NUMBER=A2T23H300-24S&buyNow=true&fromSearch=true","http://www.freescale.com/zh-Hans/products/rf/rf-cellular-infrastructure/2300-2690-mhz/2300-2400-mhz-66-w-avg.-28-v-airfast-rf-power-ldmos-transistor:A2T23H300-24S?&fpsp=1&tab=Documentation_Tab#A2T23H300-24SR6","AIRFAST RF POWER LDMOS TRANSISTOR, 2300-2400 MHz, 69 W Avg., 28 V","<a target="_blank" id="OPNsuggestedDriver" style="cursor:pointer"  onclick="showpopup('A2T23H300-24SR6');trackRFAnalytics('A2T23H300-24SR6','opn');"><center><br><img class="img-sugg-driver" src="/shared/images/suggestedDriver.png"></img></br></center></a>","2300","2400","28","54.4","275","66 @ AVG","W-CDMA","14.9 @ 2300","46.7","0.25","I/O","AB, C","LDMOS","2","-","Air Cavity 7","7","PRODUCT RAPID GROWTH(2)","410","2300 to 2400","-","10-YEARS APPLICATION LIFE","-","-","-","-","-","-","-","-","-"
"FSL","射频---射频移动通信基础架构","A2T21S260-12S","A2T21S260-12SR3","http://www.freescale.com/webapp/search.partparamdetail.framework?PART_NUMBER=A2T21S260-12S&buyNow=true&fromSearch=true","http://www.freescale.com/zh-Hans/products/rf/rf-cellular-infrastructure/1450-2200-mhz/2110-2170-mhz-65-w-avg.-28-v-airfast-rf-power-ldmos-transistor:A2T21S260-12S?&fpsp=1&tab=Documentation_Tab#A2T21S260-12SR3","AIRFAST RF POWER LDMOS TRANSISTOR, 2110-2170 MHz, 65 W AVG., 28 V","<a target="_blank" id="OPNsuggestedDriver" style="cursor:pointer"  onclick="showpopup('A2T21S260-12SR3');trackRFAnalytics('A2T21S260-12SR3','opn');"><center><br><img class="img-sugg-driver" src="/shared/images/suggestedDriver.png"></img></br></center></a>","2110","2170","28","53.2","208","65 @ AVG","W-CDMA","18.7 @ 2170","30.6","0.28","I/O","AB, C","LDMOS","2","-","Air Cavity 5","5","PRODUCT RAPID GROWTH(2)","-","2110 to 2170","-","10-YEARS APPLICATION LIFE","-","-","-","-","-","-","-","-","-"
"FSL","射频---射频移动通信基础架构","A2T21S160-12S","A2T21S160-12SR3","http://www.freescale.com/webapp/search.partparamdetail.framework?PART_NUMBER=A2T21S160-12S&buyNow=true&fromSearch=true","http://www.freescale.com/zh-Hans/products/rf/rf-cellular-infrastructure/1450-2200-mhz/2110-2170-mhz-38-w-avg.-28-v-airfast-rf-power-ldmos-transistor:A2T21S160-12S?&fpsp=1&tab=Documentation_Tab#A2T21S160-12SR3","Airfast RF Power LDMOS Transistor, 2496-2690 MHz, 48 W Avg., 28 V","<a target="_blank" id="OPNsuggestedDriver" style="cursor:pointer"  onclick="showpopup('A2T21S160-12SR3');trackRFAnalytics('A2T21S160-12SR3','opn');"><center><br><img class="img-sugg-driver" src="/shared/images/suggestedDriver.png"></img></br></center></a>","2110","2170","28","51.5","140","38 @ AVG","W-CDMA","18.4 @ 2170","32.9","0.3","I/O","AB","LDMOS","2","-","Air Cavity 5","5","PRODUCT RAPID GROWTH(2)","-","2110 to 2170","-","10-YEARS APPLICATION LIFE","-","-","-","-","-","-","-","-","-"
"FSL","射频---射频移动通信基础架构","A2T21H360-24S","A2T21H360-24SR6","http://www.freescale.com/webapp/search.partparamdetail.framework?PART_NUMBER=A2T21H360-24S&buyNow=true&fromSearch=true","http://www.freescale.com/zh-Hans/products/rf/rf-cellular-infrastructure/1450-2200-mhz/2110-2170-mhz-63-w-avg.-28-v-airfast-rf-power-ldmos-transistor:A2T21H360-24S?&fpsp=1&tab=Documentation_Tab#A2T21H360-24SR6","AIRFAST RF POWER LDMOS TRANSISTOR 2110-2170 MHz, 63 W AVG, 28 V","<a target="_blank" id="OPNsuggestedDriver" style="cursor:pointer"  onclick="showpopup('A2T21H360-24SR6');trackRFAnalytics('A2T21H360-24SR6','opn');"><center><br><img class="img-sugg-driver" src="/shared/images/suggestedDriver.png"></img></br></center></a>","2110","2170","28","54.8","301","63 @ AVG","W-CDMA","16.2 @ 2140","51.8","0.33","I/O","AB, C","LDMOS","2","-","Air Cavity 7","7","PRODUCT RAPID GROWTH(2)","400","2110 to 2170","-","10-YEARS APPLICATION LIFE","-","-","-","-","-","-","-","-","-"
"FSL","射频---射频移动通信基础架构","A2T21H100-25S","A2T21H100-25SR3","http://www.freescale.com/webapp/search.partparamdetail.framework?PART_NUMBER=A2T21H100-25S&buyNow=true&fromSearch=true","http://www.freescale.com/zh-Hans/products/rf/rf-cellular-infrastructure/1450-2200-mhz/2110-2170-mhz-18-w-avg.-28-v-airfast-rf-power-ldmos-transistor:A2T21H100-25S?&fpsp=1&tab=Documentation_Tab#A2T21H100-25SR3","AIRFAST RF POWER LDMOS TRANSISTOR, 2110-2170 MHz, 18 W AVG., 28 V","<a target="_blank" id="OPNsuggestedDriver" style="cursor:pointer"  onclick="showpopup('A2T21H100-25SR3');trackRFAnalytics('A2T21H100-25SR3','opn');"><center><br><img class="img-sugg-driver" src="/shared/images/suggestedDriver.png"></img></br></center></a>","2110","2170","28","48.8","75","18 @ AVG","W-CDMA","17.4 @ 2170","50.5","0.76","I/O","AB, C","LDMOS","2","-","Air Cavity 9","9","PRODUCT RAPID GROWTH(2)","112","2110 to 2170","-","10-YEARS APPLICATION LIFE","-","-","-","-","-","-","-","-","-"
"FSL","射频---射频移动通信基础架构","A2T20H330W24S","A2T20H330W24SR6","http://www.freescale.com/webapp/search.partparamdetail.framework?PART_NUMBER=A2T20H330W24S&buyNow=true&fromSearch=true","http://www.freescale.com/zh-Hans/products/rf/rf-cellular-infrastructure/1450-2200-mhz/1880-2025-mhz-58-w-avg.-28-v-airfast-rf-power-ldmos-transistor:A2T20H330W24S?&fpsp=1&tab=Documentation_Tab#A2T20H330W24SR6","Airfast RF Power LDMOS Transistor 1880-2025 MHz, 58 W Avg., 28 V","<a target="_blank" id="OPNsuggestedDriver" style="cursor:pointer"  onclick="showpopup('A2T20H330W24SR6');trackRFAnalytics('A2T20H330W24SR6','opn');"><center><br><img class="img-sugg-driver" src="/shared/images/suggestedDriver.png"></img></br></center></a>","1880","2025","28","53.8","240","58 @ AVG","W-CDMA","16.9 @ 1960","50.5","0.25","I/O","AB","LDMOS","2","-","Air Cavity 7","7","PRODUCT RAPID GROWTH(2)","380","1880 to 2025","-","10-YEARS APPLICATION LIFE","-","-","-","-","-","-","-","-","-"
"FSL","射频---射频移动通信基础架构","A2T18S162W31S","A2T18S162W31GSR3","http://www.freescale.com/webapp/search.partparamdetail.framework?PART_NUMBER=A2T18S162W31S&buyNow=true&fromSearch=true","http://www.freescale.com/zh-Hans/products/rf/rf-cellular-infrastructure/1450-2200-mhz/1805-1880-mhz-32-w-avg.-28-v-airfast-rf-power-ldmos-transistors:A2T18S162W31S?&fpsp=1&tab=Documentation_Tab#A2T18S162W31GSR3","Airfast RF Power LDMOS Transistor 1805-1880 MHz, 32 W Avg., 28 V","<a target="_blank" id="OPNsuggestedDriver" style="cursor:pointer"  onclick="showpopup('A2T18S162W31GSR3');trackRFAnalytics('A2T18S162W31GSR3','opn');"><center><br><img class="img-sugg-driver" src="/shared/images/suggestedDriver.png"></img></br></center></a>","1805","1880","28","51.1","129","32 @ AVG","W-CDMA","20.1 @ 1840","33.9","0.36","I/O","AB","LDMOS","2","-","Air Cavity 5","5","PRODUCT RAPID GROWTH(2)","-","1805 to 1880","-","10-YEARS APPLICATION LIFE","-","-","-","-","-","-","-","-","-"
"FSL","射频---射频移动通信基础架构","A2T18S162W31S","A2T18S162W31SR3","http://www.freescale.com/webapp/search.partparamdetail.framework?PART_NUMBER=A2T18S162W31S&buyNow=true&fromSearch=true","http://www.freescale.com/zh-Hans/products/rf/rf-cellular-infrastructure/1450-2200-mhz/1805-1880-mhz-32-w-avg.-28-v-airfast-rf-power-ldmos-transistors:A2T18S162W31S?&fpsp=1&tab=Documentation_Tab#A2T18S162W31SR3","Airfast RF Power LDMOS Transistor 1805-1880 MHz, 32 W Avg., 28 V","<a target="_blank" id="OPNsuggestedDriver" style="cursor:pointer"  onclick="showpopup('A2T18S162W31SR3');trackRFAnalytics('A2T18S162W31SR3','opn');"><center><br><img class="img-sugg-driver" src="/shared/images/suggestedDriver.png"></img></br></center></a>","1805","1880","28","51.1","129","32 @ AVG","W-CDMA","20.1 @ 1840","33.9","0.36","I/O","AB","LDMOS","2","-","Air Cavity 5","5","PRODUCT RAPID GROWTH(2)","-","1805 to 1880","-","10-YEARS APPLICATION LIFE","-","-","-","-","-","-","-","-","-"
"FSL","射频---射频移动通信基础架构","A2T18S160W31S","A2T18S160W31GSR3","http://www.freescale.com/webapp/search.partparamdetail.framework?PART_NUMBER=A2T18S160W31S&buyNow=true&fromSearch=true","http://www.freescale.com/zh-Hans/products/rf/rf-cellular-infrastructure/1450-2200-mhz/1805-1995-mhz-32-w-avg.-28-v-airfast-rf-power-ldmos-transistors:A2T18S160W31S?&fpsp=1&tab=Documentation_Tab#A2T18S160W31GSR3","AIRFAST RF POWER LDMOS TRANSISTORS 1805-1995 MHz, 32 W AVG. 28 V","<a target="_blank" id="OPNsuggestedDriver" style="cursor:pointer"  onclick="showpopup('A2T18S160W31GSR3');trackRFAnalytics('A2T18S160W31GSR3','opn');"><center><br><img class="img-sugg-driver" src="/shared/images/suggestedDriver.png"></img></br></center></a>","1805","1995","28","51.1","129","32 @ AVG","W-CDMA","19.9 @ 1880","31.6","0.36","I/O","AB","LDMOS","2","-","Air Cavity 5","5","PRODUCT RAPID GROWTH(2)","-","1805 to 1995","-","10-YEARS APPLICATION LIFE","-","-","-","-","-","-","-","-","-"
"FSL","射频---射频移动通信基础架构","A2T18S160W31S","A2T18S160W31SR3","http://www.freescale.com/webapp/search.partparamdetail.framework?PART_NUMBER=A2T18S160W31S&buyNow=true&fromSearch=true","http://www.freescale.com/zh-Hans/products/rf/rf-cellular-infrastructure/1450-2200-mhz/1805-1995-mhz-32-w-avg.-28-v-airfast-rf-power-ldmos-transistors:A2T18S160W31S?&fpsp=1&tab=Documentation_Tab#A2T18S160W31SR3","AIRFAST RF POWER LDMOS TRANSISTORS 1805-1995 MHz, 32 W AVG. 28 V","<a target="_blank" id="OPNsuggestedDriver" style="cursor:pointer"  onclick="showpopup('A2T18S160W31SR3');trackRFAnalytics('A2T18S160W31SR3','opn');"><center><br><img class="img-sugg-driver" src="/shared/images/suggestedDriver.png"></img></br></center></a>","1805","1995","28","51.1","129","32 @ AVG","W-CDMA","19.9 @ 1880","31.6","0.36","I/O","AB","LDMOS","2","-","Air Cavity 5","5","PRODUCT RAPID GROWTH(2)","-","1805 to 1995","-","10-YEARS APPLICATION LIFE","-","-","-","-","-","-","-","-","-"
"FSL","射频---射频移动通信基础架构","A2T18H410-24S","A2T18H410-24SR6","http://www.freescale.com/webapp/search.partparamdetail.framework?PART_NUMBER=A2T18H410-24S&buyNow=true&fromSearch=true","http://www.freescale.com/zh-Hans/products/rf/rf-cellular-infrastructure/1450-2200-mhz/1805-1880-mhz-71-w-avg.-28-v-airfast-rf-power-ldmos-transistor:A2T18H410-24S?&fpsp=1&tab=Documentation_Tab#A2T18H410-24SR6","Airfast RF Power LDMOS Transistor 1805-1880 MHz, 71 W Avg., 28 V","<a target="_blank" id="OPNsuggestedDriver" style="cursor:pointer"  onclick="showpopup('A2T18H410-24SR6');trackRFAnalytics('A2T18H410-24SR6','opn');"><center><br><img class="img-sugg-driver" src="/shared/images/suggestedDriver.png"></img></br></center></a>","1805","1880","28","55.5","355","71 @ AVG","W-CDMA","17.4 @ 1805","51.2","0.24","I/O","AB, C","LDMOS","2","-","Air Cavity 7","7","PRODUCT RAPID GROWTH(2)","457","1805 to 1880","-","10-YEARS APPLICATION LIFE","-","-","-","-","-","-","-","-","-"
"FSL","射频---射频移动通信基础架构","A2T18H100-25S","A2T18H100-25SR3","http://www.freescale.com/webapp/search.partparamdetail.framework?PART_NUMBER=A2T18H100-25S&buyNow=true&fromSearch=true","http://www.freescale.com/zh-Hans/products/rf/rf-cellular-infrastructure/1450-2200-mhz/1805-1995-mhz-18-w-avg.-28-v-airfast-rf-power-ldmos-transistor:A2T18H100-25S?&fpsp=1&tab=Documentation_Tab#A2T18H100-25SR3","Airfast RF Power LDMOS Transistor, 1805-1995 MHz, 15 W Avg., 28 V","<a target="_blank" id="OPNsuggestedDriver" style="cursor:pointer"  onclick="showpopup('A2T18H100-25SR3');trackRFAnalytics('A2T18H100-25SR3','opn');"><center><br><img class="img-sugg-driver" src="/shared/images/suggestedDriver.png"></img></br></center></a>","1805","1995","28","48.6","72","18 @ AVG","W-CDMA","18.1 @ 1805","50.2","0.74","I/O","AB, C","LDMOS","2","-","Air Cavity 9","9","PRODUCT RAPID GROWTH(2)","112","1805 to 1995","-","10-YEARS APPLICATION LIFE","-","-","-","-","-","-","-","-","-"
"FSL","射频---射频移动通信基础架构","A2T09VD300N","A2T09VD300NR1","http://www.freescale.com/webapp/search.partparamdetail.framework?PART_NUMBER=A2T09VD300N&buyNow=true&fromSearch=true","http://www.freescale.com/zh-Hans/products/rf/rf-cellular-infrastructure/450-1000-mhz/716-960-mhz-79-w-avg-48-v-airfast-rf-power-ldmos-transistor:A2T09VD300N?&fpsp=1&tab=Documentation_Tab#A2T09VD300NR1","Airfast, RF Power LDMOS Transistor, 720-960 MHz, 80 W Avg., 48 V","<a target="_blank" id="OPNsuggestedDriver" style="cursor:pointer"  onclick="showpopup('A2T09VD300NR1');trackRFAnalytics('A2T09VD300NR1','opn');"><center><br><img class="img-sugg-driver" src="/shared/images/suggestedDriver.png"></img></br></center></a>","716","960","48","54","250","79 @ AVG","W-CDMA","21.5 @ 920","34.4","0.66","Input","AB","LDMOS","2","-","High Pwr RF SMT 7","7","PRODUCT RAPID GROWTH(2)","398","716 to 960","-","10-YEARS APPLICATION LIFE","-","-","-","-","-","-","-","-","-"
"FSL","射频---射频移动通信基础架构","A2T07H310-24S","A2T07H310-24SR6","http://www.freescale.com/webapp/search.partparamdetail.framework?PART_NUMBER=A2T07H310-24S&buyNow=true&fromSearch=true","http://www.freescale.com/zh-Hans/products/rf/rf-cellular-infrastructure/450-1000-mhz/716-960-mhz-47-w-avg.-28-v-airfast-rf-power-ldmos-transistor:A2T07H310-24S?&fpsp=1&tab=Documentation_Tab#A2T07H310-24SR6","Airfast RF Power LDMOS Transistor, 720-960 MHz, 47 W Avg., 28 V","<a target="_blank" id="OPNsuggestedDriver" style="cursor:pointer"  onclick="showpopup('A2T07H310-24SR6');trackRFAnalytics('A2T07H310-24SR6','opn');"><center><br><img class="img-sugg-driver" src="/shared/images/suggestedDriver.png"></img></br></center></a>","716","960","28","51","126","47 @ AVG","W-CDMA","18.9 @ 865","51.6","0.36","I/O","AB, C","LDMOS","2","-","Air Cavity 7","7","PRODUCT RAPID GROWTH(2)","330","716 to 960","-","10-YEARS APPLICATION LIFE","-","-","-","-","-","-","-","-","-"
"FSL","射频---射频移动通信基础架构","A2T09VD250N","A2T09VD250NR1","http://www.freescale.com/webapp/search.partparamdetail.framework?PART_NUMBER=A2T09VD250N&buyNow=true&fromSearch=true","http://www.freescale.com/zh-Hans/products/rf/rf-cellular-infrastructure/450-1000-mhz/716-960-mhz-65-w-avg-48-v-airfast-rf-power-ldmos-transistor:A2T09VD250N?&fpsp=1&tab=Documentation_Tab#A2T09VD250NR1","Airfast, RF Power LDMOS Transistor, 720-960 MHz, 80 W Avg., 48 V","<a target="_blank" id="OPNsuggestedDriver" style="cursor:pointer"  onclick="showpopup('A2T09VD250NR1');trackRFAnalytics('A2T09VD250NR1','opn');"><center><br><img class="img-sugg-driver" src="/shared/images/suggestedDriver.png"></img></br></center></a>","716","960","48","53.8","240","65 @ AVG","W-CDMA","22.5 @ 920","34.8","0.56","Input","AB","LDMOS","2","-","High Pwr RF SMT 7","7","PRODUCT RAPID GROWTH(2)","326","716 to 960","-","10-YEARS APPLICATION LIFE","-","-","-","-","-","-","-","-","-"
"FSL","射频---射频移动通信基础架构","A2T26H160-24S","A2T26H160-24SR3","http://www.freescale.com/webapp/search.partparamdetail.framework?PART_NUMBER=A2T26H160-24S&buyNow=true&fromSearch=true","http://www.freescale.com/zh-Hans/products/rf/rf-cellular-infrastructure/2300-2690-mhz/2496-2690-mhz-28-w-avg.-28-v-airfast-rf-power-ldmos-transistor:A2T26H160-24S?&fpsp=1&tab=Documentation_Tab#A2T26H160-24SR3","AIRFAST RF POWER LDMOS TRANSISTOR, 2496 - 2690 MHz, 28 W AVG, 28 V","<a target="_blank" id="OPNsuggestedDriver" style="cursor:pointer"  onclick="showpopup('A2T26H160-24SR3');trackRFAnalytics('A2T26H160-24SR3','opn');"><center><br><img class="img-sugg-driver" src="/shared/images/suggestedDriver.png"></img></br></center></a>","2496","2690","28","51.4","138","28 @ AVG","W-CDMA","16.4 @ 2690","48.1","0.56","I/O","AB, C","LDMOS","2","-","Air Cavity 7","7","PRODUCT RAPID GROWTH(2)","178","2496 to 2690","-","10-YEARS APPLICATION LIFE","-","-","-","-","-","-","-","-","-"
"FSL","射频---射频移动通信基础架构","A2T07D160W04S","A2T07D160W04SR3","http://www.freescale.com/webapp/search.partparamdetail.framework?PART_NUMBER=A2T07D160W04S&buyNow=true&fromSearch=true","http://www.freescale.com/zh-Hans/products/rf/rf-cellular-infrastructure/450-1000-mhz/716-960-mhz-30-w-avg.-28-v-airfast-rf-power-ldmos-transistor:A2T07D160W04S?&fpsp=1&tab=Documentation_Tab#A2T07D160W04SR3","Airfast RF Power LDMOS Transistor, 710-960 MHz, 160 W Avg., 28 V","<a target="_blank" id="OPNsuggestedDriver" style="cursor:pointer"  onclick="showpopup('A2T07D160W04SR3');trackRFAnalytics('A2T07D160W04SR3','opn');"><center><br><img class="img-sugg-driver" src="/shared/images/suggestedDriver.png"></img></br></center></a>","716","960","28","49","79","30 @ AVG","W-CDMA","21.5 @ 803","48.5","0.63","I/O","AB, C","LDMOS","2","-","Air Cavity 5","5","PRODUCT RAPID GROWTH(2)","186","716 to 960","-","10-YEARS APPLICATION LIFE","-","-","-","-","-","-","-","-","-"
"FSL","射频---射频移动通信基础架构","A2I25D012N","A2I25D012GNR1","http://www.freescale.com/webapp/search.partparamdetail.framework?PART_NUMBER=A2I25D012N&buyNow=true&fromSearch=true","http://www.freescale.com/zh-Hans/products/rf/rf-cellular-infrastructure/2300-2690-mhz/2100-2900-mhz-2.2-w-avg.-28-v-airfast-rf-ldmos-wideband-integrated-amplifiers:A2I25D012N?&fpsp=1&tab=Documentation_Tab#A2I25D012GNR1","Airfast RF Power LDMOS Transistor, 2300-2690 MHz, 1.3 W Avg., 28 V","<a target="_blank" id="OPNsuggestedDriver" style="cursor:pointer"  onclick="showpopup('A2I25D012GNR1');trackRFAnalytics('A2I25D012GNR1','opn');"><center><br><img class="img-sugg-driver" src="/shared/images/suggestedDriver.png"></img></br></center></a>","2100","2900","28","41.9","15.5","2.2 @ AVG","W-CDMA","33.2 @ 2690","19.8","3.3","Input","AB","LDMOS","2","-","High Pwr RF SMT 16","16","PRODUCT RAPID GROWTH(2)","24","2100 to 2900","-","10-YEARS APPLICATION LIFE","-","-","-","-","-","-","-","-","-"
"FSL","射频---射频移动通信基础架构","A2I25D012N","A2I25D012NR1","http://www.freescale.com/webapp/search.partparamdetail.framework?PART_NUMBER=A2I25D012N&buyNow=true&fromSearch=true","http://www.freescale.com/zh-Hans/products/rf/rf-cellular-infrastructure/2300-2690-mhz/2100-2900-mhz-2.2-w-avg.-28-v-airfast-rf-ldmos-wideband-integrated-amplifiers:A2I25D012N?&fpsp=1&tab=Documentation_Tab#A2I25D012NR1","Airfast RF Power LDMOS Transistor, 2300-2690 MHz, 1.3 W Avg., 28 V","<a target="_blank" id="OPNsuggestedDriver" style="cursor:pointer"  onclick="showpopup('A2I25D012NR1');trackRFAnalytics('A2I25D012NR1','opn');"><center><br><img class="img-sugg-driver" src="/shared/images/suggestedDriver.png"></img></br></center></a>","2100","2900","28","41.9","15.5","2.2 @ AVG","W-CDMA","33.2 @ 2690","19.8","3.3","Input","AB","LDMOS","2","-","High Pwr RF SMT 16","16","PRODUCT RAPID GROWTH(2)","24","2100 to 2900","-","10-YEARS APPLICATION LIFE","-","-","-","-","-","-","-","-","-"
"FSL","射频---射频移动通信基础架构","A2G26S160-01N","PA2G26S160-01N","http://www.freescale.com/webapp/search.partparamdetail.framework?PART_NUMBER=A2G26S160-01N&buyNow=true&fromSearch=true","http://www.freescale.com/zh-Hans/products/rf/rf-cellular-infrastructure/2300-2690-mhz/2300-2690-mhz-32-w-avg.-48-v-airfast-rf-power-gan-transistor:A2G26S160-01N?&fpsp=1&tab=Documentation_Tab#PA2G26S160-01N","160W GaN OM270-2","-","2300","2690","48","51","125","32 @ AVG","W-CDMA","15.5 @ 2590","33","-","Input","AB","GaN","0","-","High Pwr RF SMT 3","3","PRODUCT INTRODUCTION PENDING(0)","-","2300 to 2690","-","-","-","-","-","-","-","-","-","-","-"
"FSL","射频---射频移动通信基础架构","A2G26H280-04S","PA2G26H280-04S","http://www.freescale.com/webapp/search.partparamdetail.framework?PART_NUMBER=A2G26H280-04S&buyNow=true&fromSearch=true","http://www.freescale.com/zh-Hans/products/rf/rf-cellular-infrastructure/2300-2690-mhz/2300-2690-mhz-50-w-avg.-48-v-airfast-rf-power-gan-transistor:A2G26H280-04S?&fpsp=1&tab=Documentation_Tab#PA2G26H280-04S","GaN 280W NI780S-4L","-","2300","2690","48","53.3","215","50 @ AVG","W-CDMA","15.6 @ 2605","54","-","Input","AB, C","GaN","0","-","Air Cavity 5","5","PRODUCT INTRODUCTION PENDING(0)","-","2300 to 2690","-","-","-","-","-","-","-","-","-","-","-"
"FSL","射频---射频移动通信基础架构","AFT09S200W02S","AFT09S200W02SR3","http://www.freescale.com/webapp/search.partparamdetail.framework?PART_NUMBER=AFT09S200W02S&buyNow=true&fromSearch=true","http://www.freescale.com/zh-Hans/products/rf/rf-cellular-infrastructure/450-1000-mhz/920-960-mhz-56-w-avg.-28-v-airfast-rf-power-ldmos-transistor:AFT09S200W02S?&fpsp=1&tab=Documentation_Tab#AFT09S200W02SR3","Airfast RF Power LDMOS Transistor, 716-960 MHz, 41 W Avg., 28 V","<a target="_blank" id="OPNsuggestedDriver" style="cursor:pointer"  onclick="showpopup('AFT09S200W02SR3');trackRFAnalytics('AFT09S200W02SR3','opn');"><center><br><img class="img-sugg-driver" src="/shared/images/suggestedDriver.png"></img></br></center></a>","920","960","28","51.7","148","56 @ AVG","W-CDMA","19.4 @ 960","35.6","0.34","I/O","AB","LDMOS","2","-","Air Cavity 3","3","PRODUCT RAPID GROWTH(2)","-","920 to 960","-","10-YEARS APPLICATION LIFE","-","-","-","-","-","-","-","-","-"
